policy,n_jobs_completed,avg_jct_min,p95_jct_min,makespan_min,mean_gpu_utilization,fragmentation_rate,backfill_admissions,cluster,n_hosts,boot_rep
PredSched_LLM,700,263.0652857142857,1417.6849999999986,18339.833333333332,0.5550067760066888,0.013568521031207599,304,Earth,8,18
FIFO,700,2269.9967619047625,4634.666666666668,21152.450000000004,0.6727654356626924,0.021108179419525065,0,Earth,8,19
QSSF_proxy,700,335.5581904761905,1766.3316666666663,21202.35,0.6711820736655765,0.010554089709762533,304,Earth,8,19
RF_SRPT_proxy,700,321.98292857142854,1597.2999999999997,21287.95,0.6684832141931626,0.013192612137203167,470,Earth,8,19
Backfill_FIFO,700,1065.322571428572,3955.9175000000037,18673.466666666667,0.7620779522950569,0.002638522427440633,439,Earth,8,19
Wind_proxy,700,1067.596071428572,3902.9524999999985,18794.833333333332,0.757156873232005,0.0,444,Earth,8,19
PredSched_LLM,700,321.98292857142854,1597.2999999999997,21287.95,0.6684832141931626,0.011873350923482849,470,Earth,8,19
FIFO,700,15569.993357142854,30617.007499999985,42296.44999999998,0.8787884569804333,0.015810276679841896,0,Earth,8,20
QSSF_proxy,700,6423.145833333333,14776.95083333333,40139.85,0.9260032618769133,0.002635046113306983,303,Earth,8,20
RF_SRPT_proxy,700,6468.26826190476,14599.339166666661,40612.96666666666,0.9152158800986394,0.00922266139657444,349,Earth,8,20
Backfill_FIFO,700,14270.573333333332,29491.691666666662,39476.049999999996,0.9415742464418309,0.022397891963109356,333,Earth,8,20
Wind_proxy,700,14433.694285714282,29232.415833333325,39781.68333333333,0.9343403525638482,0.00922266139657444,333,Earth,8,20
PredSched_LLM,700,6468.26826190476,14599.339166666661,40612.96666666666,0.9152158800986394,0.00922266139657444,349,Earth,8,20
FIFO,700,728.1635714285717,2307.651666666667,16997.416666666668,0.5254993712279812,0.011826544021024968,0,Earth,8,21
QSSF_proxy,700,187.42342857142862,1020.4574999999978,16829.666666666668,0.5307372955000097,0.013140604467805518,242,Earth,8,21
RF_SRPT_proxy,700,188.2600952380953,941.8941666666664,16500.933333333334,0.5413106998493016,0.022339027595269383,275,Earth,8,21
Backfill_FIFO,700,208.03097619047622,1162.3475000000005,16859.86666666667,0.5297866197538136,0.013140604467805518,297,Earth,8,21
Wind_proxy,700,208.02564285714288,1162.3475000000005,16859.86666666667,0.5297866197538136,0.013140604467805518,301,Earth,8,21
PredSched_LLM,700,187.67688095238103,958.794166666665,16500.933333333334,0.5413106998493018,0.017082785808147174,275,Earth,8,21
FIFO,700,765.1483333333331,2309.535833333332,18280.949999999997,0.49608718650197775,0.01455026455026455,0,Earth,8,22
QSSF_proxy,700,216.07957142857146,1287.7858333333331,18808.61666666667,0.4821696998140035,0.015873015873015872,260,Earth,8,22
RF_SRPT_proxy,700,236.23442857142857,1502.9966666666653,18220.133333333335,0.49774306730741097,0.022486772486772486,248,Earth,8,22
Backfill_FIFO,700,250.6612380952382,1446.5624999999986,18338.183333333334,0.49453890209499124,0.013227513227513227,287,Earth,8,22
Wind_proxy,700,250.6612380952382,1446.5624999999986,18338.183333333334,0.49453890209499124,0.013227513227513227,287,Earth,8,22
PredSched_LLM,700,236.23442857142857,1502.9966666666653,18220.133333333335,0.49774306730741097,0.022486772486772486,248,Earth,8,22
FIFO,700,10660.709666666664,25377.91833333333,40406.35,0.8308861236125844,0.022193211488250653,0,Earth,8,23
QSSF_proxy,700,972.4444523809526,7667.690833333334,37993.600000000006,0.8836508127903995,0.02349869451697128,331,Earth,8,23
RF_SRPT_proxy,700,909.1967857142857,6580.347499999986,38389.98333333334,0.8745269626538865,0.020887728459530026,343,Earth,8,23
Backfill_FIFO,700,1341.2100238095243,10888.511666666664,38086.33333333334,0.8814992828792481,0.0195822454308094,372,Earth,8,23
