policy,n_jobs_completed,avg_jct_min,p95_jct_min,makespan_min,mean_gpu_utilization,fragmentation_rate,backfill_admissions,n_hosts,total_capacity
Wind_proxy,656,142.39576219512193,645.5,10115.0,0.2827049982024894,0.005404077622205846,63,110,880
PredSched_LLM,656,141.19913109756098,651.75,10115.0,0.2827049982024894,0.014738393515106854,14,110,880
FIFO,656,276.37175304878053,1115.0,10115.0,0.3109754980227386,0.002702038811102923,0,100,800
QSSF_proxy,656,174.7788567073171,890.7525,10115.0,0.3109754980227384,0.019651191353475806,98,100,800
RF_SRPT_proxy,656,174.7788567073171,890.7525,10115.0,0.3109754980227384,0.019651191353475806,95,100,800
Backfill_FIFO,656,177.75611280487806,888.5,10115.0,0.3109754980227384,0.005158437730287398,104,100,800
Wind_proxy,656,177.9588567073171,888.5,10115.0,0.3109754980227384,0.005158437730287398,105,100,800
PredSched_LLM,656,174.842881097561,890.7525,10115.0,0.3109754980227384,0.015720953082780643,98,100,800
FIFO,656,580.9666615853658,2309.7575,10721.0,0.32599748805563306,0.003930238270695161,0,90,720
QSSF_proxy,656,164.81346036585367,663.25,10115.0,0.34552833113637593,0.017440432326209777,175,90,720
RF_SRPT_proxy,656,164.81346036585367,663.25,10115.0,0.34552833113637593,0.017440432326209777,171,90,720
Backfill_FIFO,656,164.84242378048782,663.25,10115.0,0.34552833113637593,0.0029476787030213707,258,90,720
Wind_proxy,656,165.16254573170733,663.25,10115.0,0.34552833113637593,0.002702038811102923,258,90,720
PredSched_LLM,656,164.81498475609757,663.25,10115.0,0.34552833113637593,0.017931712110046672,171,90,720
FIFO,656,1284.7660518292685,4330.76,13020.01,0.28422469924912436,0.006386637189879637,0,85,680
QSSF_proxy,656,174.07259146341468,663.25,10115.0,0.3658535270855749,0.0029476787030213707,202,85,680
RF_SRPT_proxy,656,174.07259146341468,663.25,10115.0,0.3658535270855749,0.0029476787030213707,195,85,680
Backfill_FIFO,656,174.07259146341468,663.25,10115.0,0.3658535270855749,0.0029476787030213707,285,85,680
Wind_proxy,656,174.07259146341468,663.25,10115.0,0.3658535270855749,0.002702038811102923,285,85,680
PredSched_LLM,656,174.08478658536586,663.25,10115.0,0.3658535270855749,0.0024563989191844758,195,85,680
FIFO,656,1481.4090853658538,4759.25,13254.0,0.296657345188245,0.006386637189879637,0,80,640
QSSF_proxy,656,188.6291463414634,695.515,10115.0,0.38871937252842315,0.0034389584868582657,225,80,640
RF_SRPT_proxy,656,188.6291463414634,695.515,10115.0,0.38871937252842315,0.0034389584868582657,216,80,640
Backfill_FIFO,656,188.63830792682927,695.5074999999999,10115.0,0.38871937252842315,0.0031933185949398184,329,80,640
Wind_proxy,656,188.63830792682927,695.5074999999999,10115.0,0.38871937252842315,0.003930238270695161,329,80,640
PredSched_LLM,656,188.6337195121951,695.515,10115.0,0.38871937252842315,0.0034389584868582657,219,80,640
FIFO,656,2535.5016158536587,7349.2874999999985,15907.029999999999,0.2636584505928091,0.006877916973716531,0,75,600
QSSF_proxy,656,443.6279573170732,5266.515,10115.0,0.41463399736365103,0.0031933185949398184,310,75,600
RF_SRPT_proxy,656,443.6279573170732,5266.515,10115.0,0.41463399736365103,0.0031933185949398184,301,75,600
Backfill_FIFO,656,443.88833841463406,5280.0075,10115.0,0.41463399736365103,0.0031933185949398184,457,75,600
Wind_proxy,656,443.88833841463406,5280.0075,10115.0,0.41463399736365103,0.009334315892901008,457,75,600
PredSched_LLM,656,443.6279573170732,5266.515,10115.0,0.41463399736365103,0.006140997297961189,301,75,600
FIFO,656,4918.898551829268,10645.2675,19334.010000000002,0.23241924186594354,0.0076148366494718745,0,70,560
QSSF_proxy,656,607.7759603658535,8042.27,10115.0,0.4442507114610555,0.0036845983787767134,314,70,560
RF_SRPT_proxy,656,607.7759603658535,8042.27,10115.0,0.4442507114610555,0.0036845983787767134,305,70,560
Backfill_FIFO,656,606.8810670731707,8058.280000000001,10134.0,0.44341779617412425,0.0036845983787767134,459,70,560
Wind_proxy,656,606.8810670731707,8058.280000000001,10134.0,0.44341779617412425,0.004667157946450504,459,70,560
PredSched_LLM,656,607.7515701219511,8042.27,10115.0,0.4442507114610555,0.010316875460574797,305,70,560
FIFO,656,5407.136493902441,12279.54,20790.04,0.23276805494731723,0.005649717514124294,0,65,520
QSSF_proxy,656,669.6799542682926,8067.5025000000005,10143.01,0.47710267199548523,0.0031933185949398184,365,65,520
RF_SRPT_proxy,656,669.6799542682926,8067.5025000000005,10143.01,0.47710267199548523,0.0031933185949398184,356,65,520
Backfill_FIFO,656,654.4222713414634,8071.0,10147.01,0.47691459583433243,0.0031933185949398184,609,65,520
Wind_proxy,656,654.3994054878049,8071.0,10147.01,0.47691459583433243,0.0034389584868582657,609,65,520
PredSched_LLM,656,669.6799542682926,8067.5025000000005,10143.01,0.47710267199548523,0.005158437730287398,356,65,520
FIFO,656,5994.609771341464,13279.28,21775.03,0.22571131091007682,0.006632277081798084,0,64,512
QSSF_proxy,656,670.062576219512,8067.5025000000005,10143.01,0.4845574012454144,0.002702038811102923,365,64,512
RF_SRPT_proxy,656,670.062576219512,8067.5025000000005,10143.01,0.4845574012454144,0.002702038811102923,356,64,512
Backfill_FIFO,656,670.7606859756098,8071.5075,10152.01,0.48412782950432975,0.0024563989191844758,645,64,512
Wind_proxy,656,670.7210518292683,8071.5075,10152.01,0.48412782950432975,0.002210759027266028,645,64,512
PredSched_LLM,656,670.0656249999998,8067.5025000000005,10143.01,0.4845574012454144,0.0029476787030213707,356,64,512
