host_ip,observed_max_gpu,capacity,DSW,PSW,ASW
2df10b7440270f51200cebe51e9fce90e391ef8ecb5a21edbf4911641cfbc0f5,8.0,8,G6,P12,S29
2e26709b4620fb55fd7a78e9bbcd2da6c26ec232cc77c239f4b69692bd6d0b8a,8.0,8,G6,P10,S9
2ed33d94b3c7a0b1ec0d27c56aeae9c17842d9f974b3865141c2065b0a0a94b4,8.0,8,G6,P10,S8
2fa2f46cdfc867d1e73752908858a16b2150876696ef203bfed5b7b817080984,8.0,8,G6,P10,S25
303c4291c473d8f9820bd107249a83fe8c30e2f6f3585d32ec187cd9e2f4cc0c,8.0,8,G6,P10,S29
306c98b89ff393fe5c0694b58ee3e76d9c84ec8480ede9926e42147bfa285770,8.0,8,G6,P8,S18
308198a5296820911f175ef0ac1b940209309776b66e989e7cf102a496387944,8.0,8,G6,P8,S33
315a38083a09ce20d2c54a5831d3fdcf83d3dc7f5f4659b50be401493f89b989,8.0,8,G6,P10,S18
31fc2be80170854663ecb8a2d1e8cdc49f68993c84dec2fde77372087219da8a,8.0,8,G6,P12,S23
32cba800a4af8659904a163991873c9bd67ec9c00ca52a619993c21440f09c80,8.0,8,G6,P10,S35
32e8e3326b2059e225acade6a79549169ce8ae947143e4373098f20291b1dc1a,8.0,8,G6,P12,S10
3332d32a0f5e42ee8fb07b5bf810c3ada0669cb1c70b7dffd298ac5226404023,8.0,8,G6,P10,S13
33ce8ce29572e5b78b0f88ae37d5ca9a46bbb86b5d3340103d1edfe75aa59059,8.0,8,G6,P10,S24
34021c5c6b011cfb41c5c4a568d753f71f42438e517cccb9935a67f54dec8aab,8.0,8,G6,P10,S7
340b853f9ce6e72cedba8559f6cf22e436fd685b4919c27a7757967ab67160a1,8.0,8,G6,P12,S15
34ad4b29b2c41034f5b4adf96370ba19a7f4efbd556dd5df1feea951ef1af856,8.0,8,G6,P10,S4
351be198d08f8440f0fae6e695e645cfc4f9bb7d59308e75322038a69dc3aed6,8.0,8,G6,P10,S48
35408f8947108b270c98953f568c549bd3748d6290f49fc5116f2f8e81848734,8.0,8,G6,P12,S15
354d6fdf0937f9cc1b34ea5bd69f0e0093cbe1f4ec51db1dd9a5df1588ea0aed,8.0,8,G6,P10,S30
35a311a8e9e71d268bcaa36919785e27438c67038ff0c45f13aa62fb44a860b3,8.0,8,G6,P12,S31
3621f5454f2ed6b4b7b30b6c21c024507f899fb23f1d450bc55ea6814310244c,8.0,8,G6,P12,S6
37785f959b79e444b87546cf87fffe3068e6ef3da5d912a02cd2d019e83e18ce,8.0,8,G6,P12,S17
37b1097a7b3b11e77b8676655da705aa898699bdbbffacc10d12b6f4e010c658,8.0,8,G6,P10,S28
37dd41812f496df7039007d328ba195260ca593ed8eeb83b3e4e792a332974e9,8.0,8,G6,P12,S28
37fd5f6fb478bd3b6caa473e204bc09be8765bb1dfce159d8630cd17b43bee4a,8.0,8,G6,P12,S32
382ddb091ac67ab0741845f0eba281bc1dc74d7b3488209987fe2f9486afeb52,8.0,8,G6,P12,S5
389fa7150213d93f1c3361240a4e4b55b77199c21caf134ee30063455a9adc41,8.0,8,G6,P12,S25
397754e2d931d3316c04399b4be599599a4bd854c3005aaabb5dec1789bb78b1,8.0,8,UNKNOWN_DC,UNKNOWN_POD,UNKNOWN_RACK
39f86f230db509d8532f03a297c8dc17532b27b6d74a8157b5351bdaba721c83,8.0,8,G6,P12,S27
3a3c36099ec1d68c580949183b15fc157ac1ef03f3045aae2b2e3f02c1a82bb7,8.0,8,G6,P12,S6
3a86172838164f145896a56df1453b5ff5d30dcadeb21c4eacb770d324377253,8.0,8,G6,P8,S26
3ad0634c754ed6310dcea23c4bec9541647b2d02d48758ef02b1cc77c16d17f7,8.0,8,G6,P10,S46
3b4665dc98b471daad1359685191982c0b6bbfd7d9a43b56ae8b0240e7aff305,8.0,8,G6,P12,S12
3b775af33de07d1c84015b46c93a3a6209b6e20b95a08344758ecc54575bee9f,8.0,8,G6,P10,S38
3ba8a999ad7c34ae4f4e8cd57fbd2ad33761e84e8678c6fe2b41e3d23d21d5bd,8.0,8,G6,P12,S28
3c74d2e21319ead618616da58e04b1083d94acdadce2367374d0000dd82b4ef7,8.0,8,G6,P8,S28
3d0bb9faab220e5b0076f93bdc89948f93452f5e967f8cec8496be4ef9da446f,8.0,8,G6,P10,S44
3e0797a16e0151a7a1d9780e564b5dbd641ba41b9062acb71a5f7d114d3ddf7e,8.0,8,G6,P12,S15
3e77a03cfc23ce78d4dab9238a09294a504a8d53b4e006b8efb115203e31ecd1,8.0,8,G6,P12,S7
3ed5e313f7bb9ed6d34a9706b0c85fe582d5c0d7578376a163a7ca6c953c7e4e,8.0,8,G6,P12,S19
3f08506732307fa4acfd378c6b4d229ccb53fb891b1a1b14e40b6a55ecf45c28,8.0,8,G6,P12,S2
3f60b375cd28b665f3c01b6b35745cc8aefbe48fc0919536fd70b968fe6ac9e3,8.0,8,G6,P12,S31
3f71eb98eb04b23134d5e9e0a3ebaf1cd4044e76d00c8eb740cde62d3de12466,8.0,8,G6,P12,S21
40a30c37b3c4edd1ad0a18dc3e23a09002439b59f13ba0d0aa69cb0bf3c2b958,8.0,8,G6,P10,S16
40ab7ca13a04c726f0db67b423125611dcaa56c19b8f3a3e31cd0df72983308b,8.0,8,G6,P10,S11
40c1da542bb96dcc630ff101a19ae36a616ddab16847994ca35bb53392059d10,8.0,8,G6,P12,S17
40c72b29047a5f3d42cad779b72645e1ba3d2e7955ff0198b469cb5b880184f2,8.0,8,G6,P8,S23
41c369ef0970e4c9cc680c1d95512cadd8acc2d87eeb869b89c98ee62904eb15,8.0,8,G6,P12,S28
4200ca2dcc6ae9c7a82645bdea0a9c6590c3edbfd9b2a67585cb7d922da6ad80,8.0,8,G6,P12,S26
4206c6770163d8e04f6c0edd8b967d890ca36a5e6994a2b24227cfadc0664b90,8.0,8,G6,P12,S20
425b686baad8024a3b7ea9a8b2dd226ec8240d1465882cf3da564e532bb77f86,8.0,8,G6,P10,S10
42975bc85993596295b72a5c86a7d80f17c31c50399262654273438073777d2e,8.0,8,G6,P10,S36
435ad5c3075639483f056ee2fd7ee164f668a37720a68caf35376ced700baf8a,8.0,8,G6,P12,S16
437fcf19bf707729b1f2bcb8e1de7ec58711dc115dec1b3995492442506a92d9,8.0,8,G6,P10,S45
447641462614dfaa8c9ac46efde2e1b71236549d4309237a5649b90f212cbaa9,8.0,8,G6,P10,S8
